REPORTING_PERIOD,ORG_CODE,ORG_NAME,CONTRACT_CODE,CONTRACT_NAME,ITEM_NUMBER,VALUE,REGION_CODE,REGION_NAME
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,A01,"35,693",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,A02,0,Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,A03,"28,440",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,A05,402,Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,A07,"4,019",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B01,"10,894",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B02,"6,917",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B03,612,Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B04,"1,448",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B05,"4,857",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B06,"15,951,429",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B07,"2,497",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B08,"3,806",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B09,"2,335,764",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B10,"13,293",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,B11,"109,041,561",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,C01,"33,284",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,C02,"1,557",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,C03,"12,193",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,C04,"1,926",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,C05,"17,359",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,C06,249,Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,D01,"19,285",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,D02,"10,336",Y56,London
IUCADC-MONTHLY-APR-2023,NKB,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,111AD5,North Central London,D03,"6,434",Y56,London
