,,,,,
,,,,,
Attendances by key clinical fields,,,,,
"The table below shows a count of A&E attendances (excluding planned attendances) and a rate of total attendances, broken down by the following key clinical fields:
- Chief Complaint
- First and secondary diagnosis codes
- Investigation Code
- Treatment Code
",,,,,
,,,,,
"Copyright © 2025, NHS England.",,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,
,,,,,
Reporting Period,Measure Type,Code,Description,Attendances,% of total attendances
2024/25,Chief Complaint,102556003,Pain in upper limb (finding),415904,1.61
2024/25,Chief Complaint,10601006,Pain in lower limb (finding),738452,2.86
2024/25,Chief Complaint,1089261000000101,Major injury involving multiple body regions (disorder),6533,0.03
2024/25,Chief Complaint,1156755000,,1150,0
2024/25,Chief Complaint,125593007,Injury of face (disorder),204309,0.79
2024/25,Chief Complaint,125666000,Burn (disorder),110062,0.43
2024/25,Chief Complaint,127278005,Injury of upper extremity (disorder),1377702,5.34
2024/25,Chief Complaint,127279002,Injury of lower extremity (disorder),1346278,5.21
2024/25,Chief Complaint,128069005,Injury of abdomen (disorder),12667,0.05
2024/25,Chief Complaint,13094009,Apnea in the newborn (finding),3461,0.01
2024/25,Chief Complaint,13791008,Asthenia (finding),628720,2.43
2024/25,Chief Complaint,14380007,Foreign body in mouth (disorder),23973,0.09
2024/25,Chief Complaint,14760008,Constipation (finding),70933,0.27
2024/25,Chief Complaint,15188001,Hearing loss (disorder),18909,0.07
2024/25,Chief Complaint,161152002,Social problem (finding),28149,0.11
2024/25,Chief Complaint,161887000,Spontaneous bruising (disorder),6676,0.03
2024/25,Chief Complaint,161891005,Backache (finding),396724,1.54
2024/25,Chief Complaint,161898004,Falls (finding),150361,0.58
2024/25,Chief Complaint,162214009,Crying infant (finding),35205,0.14
2024/25,Chief Complaint,162356005,Earache symptom (finding),241674,0.94
2024/25,Chief Complaint,170720001,Follow-up ophthalmological assessment (regime/therapy),121516,0.47
2024/25,Chief Complaint,18165001,Jaundice (finding),18392,0.07
2024/25,Chief Complaint,182888003,Medication requested (situation),46394,0.18
2024/25,Chief Complaint,1874001000000104,,17961,0.07
2024/25,Chief Complaint,1874011000000102,,1836,0.01
2024/25,Chief Complaint,193462001,Insomnia (disorder),1484,0.01
2024/25,Chief Complaint,19491003,Injury of nose (disorder),19831,0.08
2024/25,Chief Complaint,20502007,Pain in scrotum (finding),74886,0.29
2024/25,Chief Complaint,21522001,Abdominal pain (finding),1579475,6.12
2024/25,Chief Complaint,21631000119105,Limb ischemia (disorder),4770,0.02
2024/25,Chief Complaint,225358003,Wound care (regime/therapy),201240,0.78
2024/25,Chief Complaint,225565007,Perineal pain (finding),34576,0.13
2024/25,Chief Complaint,22631008,Unsteady when walking (finding),65273,0.25
2024/25,Chief Complaint,230145002,Difficulty breathing (finding),463079,1.79
2024/25,Chief Complaint,23168003,Speech dysfunction (finding),44398,0.17
2024/25,Chief Complaint,246679005,Discharge from eye (finding),23080,0.09
2024/25,Chief Complaint,247355005,Flank pain (finding),124648,0.48
2024/25,Chief Complaint,248004009,Physical aggression (finding),20816,0.08
2024/25,Chief Complaint,248020004,Bizarre behavior (finding),63737,0.25
2024/25,Chief Complaint,248062006,Self-injurious behavior (finding),72647,0.28
2024/25,Chief Complaint,249366005,Bleeding from nose (finding),69486,0.27
2024/25,Chief Complaint,25064002,Headache (finding),448765,1.74
2024/25,Chief Complaint,26079004,Tremor (finding),7369,0.03
2024/25,Chief Complaint,262525000,Chest injury (disorder),120544,0.47
2024/25,Chief Complaint,262595009,Traumatic amputation (disorder),612,0
2024/25,Chief Complaint,262599003,Foreign body in respiratory tract (disorder),7200,0.03
2024/25,Chief Complaint,267036007,Dyspnea (finding),955375,3.7
2024/25,Chief Complaint,267064002,Retention of urine (disorder),107229,0.42
2024/25,Chief Complaint,267102003,Sore throat symptom (finding),289678,1.12
2024/25,Chief Complaint,271594007,Syncope (disorder),138022,0.53
2024/25,Chief Complaint,271771009,Joint swelling (finding),35002,0.14
2024/25,Chief Complaint,271807003,Eruption of skin (disorder),396134,1.53
2024/25,Chief Complaint,276464002,Injury of anus (disorder),1260,0
2024/25,Chief Complaint,281398003,Groin mass (finding),15692,0.06
2024/25,Chief Complaint,282752000,Injury of eye region (disorder),56333,0.22
2024/25,Chief Complaint,282765009,Upper back injury (disorder),24585,0.1
2024/25,Chief Complaint,282766005,Lower back injury (disorder),117270,0.45
2024/25,Chief Complaint,283682007,Bite - wound (disorder),142676,0.55
2024/25,Chief Complaint,28442001,Polyuria (finding),56709,0.22
2024/25,Chief Complaint,289530006,Bleeding from vagina (finding),126187,0.49
2024/25,Chief Complaint,289610003,Vaginal problem (finding),28590,0.11
2024/25,Chief Complaint,290085007,Breast problem (finding),8283,0.03
