,,,,
,,,,
"Attendances by attendance source, arrival mode and discharge destination",,,,
"The table below shows a count of A&E attendances (excluding planned attendances) and a rate of total attendances, broken down by attendance source, arrival mode and discharge destination. 
",,,,
,,,,
"Copyright © 2025, NHS England.",,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,
,,,,
Reporting Period,Measure Type,Measure,Attendances,% of total attendances
2024/25,Arrival Mode,Brought in by ambulance (including helicopter / Air Ambulance),4512335,17.47
2024/25,Arrival Mode,Not Known,820406,3.18
2024/25,Arrival Mode,Other,20489524,79.35
2024/25,Arrival Mode,Arrival Mode Total,25822265,100
2024/25,Attendance Source,Advised to attend accident and emergency department (situation),156592,0.61
2024/25,Attendance Source,Arrival by own transport (finding),2,0
2024/25,Attendance Source,Not Known,1525918,5.91
2024/25,Attendance Source,Private referral (procedure),2354,0.01
2024/25,Attendance Source,Referral by out of hours service (procedure),105031,0.41
2024/25,Attendance Source,Referred by Coastguard Rescue Service (finding),131,0
2024/25,Attendance Source,Referred by Fire and Rescue Service (finding),23837,0.09
2024/25,Attendance Source,Referred by Her Majesty's Prison Service (finding),9337,0.04
2024/25,Attendance Source,Referred by National Health Service 111 service (finding),1502600,5.82
2024/25,Attendance Source,Referred by Social Services (finding),3834,0.01
2024/25,Attendance Source,Referred by adult day care centre (finding),1321,0.01
2024/25,Attendance Source,Referred by advanced care practitioner (finding),68017,0.26
2024/25,Attendance Source,Referred by ambulance service (finding),2389027,9.25
2024/25,Attendance Source,Referred by carer (finding),216130,0.84
2024/25,Attendance Source,Referred by community mental health nurse (finding),1108,0
2024/25,Attendance Source,Referred by community nurse (finding),10182,0.04
2024/25,Attendance Source,Referred by dentist (finding),5737,0.02
2024/25,Attendance Source,Referred by detention centre (finding),1042,0
2024/25,Attendance Source,Referred by health visitor (finding),2804,0.01
2024/25,Attendance Source,Referred by homeless drop-in centre (finding),266,0
2024/25,Attendance Source,Referred by hospital emergency department (finding),275692,1.07
2024/25,Attendance Source,Referred by hospital outpatient department (finding),74921,0.29
2024/25,Attendance Source,Referred by hospital ward (finding),32867,0.13
2024/25,Attendance Source,Referred by member of Primary Health Care Team (finding),1299735,5.03
2024/25,Attendance Source,Referred by mental health assessment team (finding),4578,0.02
2024/25,Attendance Source,Referred by midwife (finding),15220,0.06
2024/25,Attendance Source,Referred by mountain rescue service (finding),346,0
2024/25,Attendance Source,Referred by optician (finding),34428,0.13
2024/25,Attendance Source,Referred by out of hours service (finding),19537,0.08
2024/25,Attendance Source,Referred by pharmacist (finding),38674,0.15
2024/25,Attendance Source,Referred by police (finding),87980,0.34
2024/25,Attendance Source,Referred by private sector physician (finding),6263,0.02
2024/25,Attendance Source,Referred by school nurse (finding),25963,0.1
2024/25,Attendance Source,Referred by search and rescue service (finding),20591,0.08
2024/25,Attendance Source,Referred by self (finding),3838958,14.87
2024/25,Attendance Source,Referred by service (finding),6989,0.03
2024/25,Attendance Source,Referred by urgent care service (finding),604603,2.34
2024/25,Attendance Source,Self-referral to accident and emergency department (procedure),13409650,51.93
2024/25,Attendance Source,Attendance Source Total,25822265,100
2024/25,Discharge Destination,Admission to the mortuary (procedure),20556,0.08
2024/25,Discharge Destination,Discharge to home (procedure),16899482,65.45
2024/25,Discharge Destination,Discharge to hospital at home service (procedure),6719,0.03
2024/25,Discharge Destination,Discharge to nursing home (procedure),21086,0.08
2024/25,Discharge Destination,Discharge to police custody (procedure),32379,0.13
2024/25,Discharge Destination,Discharge to residential home (procedure),20289,0.08
2024/25,Discharge Destination,Discharge to ward (procedure),3838053,14.86
2024/25,Discharge Destination,Emergency department discharge to ambulatory emergency care service (procedure),778196,3.01
2024/25,Discharge Destination,Emergency department discharge to coronary care unit (procedure),18630,0.07
2024/25,Discharge Destination,Emergency department discharge to emergency department short stay ward (procedure),264475,1.02
2024/25,Discharge Destination,Emergency department discharge to high dependency unit (procedure),10424,0.04
2024/25,Discharge Destination,Emergency department discharge to intensive care unit (procedure),19490,0.08
2024/25,Discharge Destination,Emergency department discharge to neonatal intensive care unit (procedure),513,0
2024/25,Discharge Destination,Emergency department discharge to special care baby unit (procedure),437,0
2024/25,Discharge Destination,Not Known,3333625,12.91
2024/25,Discharge Destination,"Patient discharge, to legal custody (procedure)",9369,0.04
2024/25,Discharge Destination,"Patient transfer, to another health care facility (procedure)",547998,2.12
2024/25,Discharge Destination,Urgent admission to hospice (procedure),544,0
2024/25,Discharge Destination,Discharge Destination Total,25822265,100
2024-04,Arrival Mode,Brought in by ambulance (including helicopter / Air Ambulance),369259,17.49
2024-04,Arrival Mode,Not Known,64304,3.05
2024-04,Arrival Mode,Other,1677157,79.46
2024-04,Arrival Mode,Arrival Mode Total,2110720,100
2024-04,Attendance Source,Advised to attend accident and emergency department (situation),12223,0.58
2024-04,Attendance Source,Not Known,107511,5.09
2024-04,Attendance Source,Private referral (procedure),175,0.01
2024-04,Attendance Source,Referral by out of hours service (procedure),8869,0.42
2024-04,Attendance Source,Referred by Coastguard Rescue Service (finding),17,0
2024-04,Attendance Source,Referred by Fire and Rescue Service (finding),1904,0.09
2024-04,Attendance Source,Referred by Her Majesty's Prison Service (finding),747,0.04
2024-04,Attendance Source,Referred by National Health Service 111 service (finding),127970,6.06
2024-04,Attendance Source,Referred by Social Services (finding),310,0.01
2024-04,Attendance Source,Referred by adult day care centre (finding),123,0.01
2024-04,Attendance Source,Referred by advanced care practitioner (finding),5943,0.28
2024-04,Attendance Source,Referred by ambulance service (finding),190198,9.01
2024-04,Attendance Source,Referred by carer (finding),19195,0.91
2024-04,Attendance Source,Referred by community mental health nurse (finding),69,0
2024-04,Attendance Source,Referred by community nurse (finding),840,0.04
2024-04,Attendance Source,Referred by dentist (finding),462,0.02
2024-04,Attendance Source,Referred by detention centre (finding),87,0
2024-04,Attendance Source,Referred by health visitor (finding),209,0.01
2024-04,Attendance Source,Referred by homeless drop-in centre (finding),20,0
2024-04,Attendance Source,Referred by hospital emergency department (finding),20935,0.99
2024-04,Attendance Source,Referred by hospital outpatient department (finding),5743,0.27
2024-04,Attendance Source,Referred by hospital ward (finding),2863,0.14
2024-04,Attendance Source,Referred by member of Primary Health Care Team (finding),105887,5.02
2024-04,Attendance Source,Referred by mental health assessment team (finding),359,0.02
2024-04,Attendance Source,Referred by midwife (finding),1198,0.06
2024-04,Attendance Source,Referred by mountain rescue service (finding),26,0
2024-04,Attendance Source,Referred by optician (finding),3014,0.14
2024-04,Attendance Source,Referred by out of hours service (finding),1012,0.05
2024-04,Attendance Source,Referred by pharmacist (finding),3072,0.15
2024-04,Attendance Source,Referred by police (finding),7085,0.34
2024-04,Attendance Source,Referred by private sector physician (finding),350,0.02
2024-04,Attendance Source,Referred by school nurse (finding),1812,0.09
2024-04,Attendance Source,Referred by search and rescue service (finding),1926,0.09
2024-04,Attendance Source,Referred by self (finding),181890,8.62
2024-04,Attendance Source,Referred by service (finding),628,0.03
2024-04,Attendance Source,Referred by urgent care service (finding),51464,2.44
2024-04,Attendance Source,Self-referral to accident and emergency department (procedure),1244584,58.96
2024-04,Attendance Source,Attendance Source Total,2110720,100
2024-04,Discharge Destination,Admission to the mortuary (procedure),1625,0.08
2024-04,Discharge Destination,Discharge to home (procedure),1369123,64.87
2024-04,Discharge Destination,Discharge to hospital at home service (procedure),840,0.04
2024-04,Discharge Destination,Discharge to nursing home (procedure),1768,0.08
2024-04,Discharge Destination,Discharge to police custody (procedure),2418,0.11
2024-04,Discharge Destination,Discharge to residential home (procedure),1541,0.07
2024-04,Discharge Destination,Discharge to ward (procedure),319640,15.14
2024-04,Discharge Destination,Emergency department discharge to ambulatory emergency care service (procedure),60267,2.86
2024-04,Discharge Destination,Emergency department discharge to coronary care unit (procedure),1524,0.07
2024-04,Discharge Destination,Emergency department discharge to emergency department short stay ward (procedure),20089,0.95
2024-04,Discharge Destination,Emergency department discharge to high dependency unit (procedure),855,0.04
